Set	Num	Name	Rarity	Type	House	Traits	Æ	Power	Armor	Abilities	Flavor	Artist	Image	Complete	In Decks
CotA	053	A Fair Game	R	Action	Dis		0			Play: Discard the top card or your opponent's deck and reveal their hand. You gain 1[Æ] for each card of the discarded card's house revealed in this way. Your opponent repeats the preceeding effect on you.			https://cdn.discordapp.com/attachments/475148937754312719/483669566195630103/A_Fair_Game.jpg	0.1	3
CotA	054	Arise!	C	Action	Dis		0			Play: Choose a house.  Return each creature of that house from your discard pile to your hand.  Gain 1 chain.		David Kegg	https://cdn.discordapp.com/attachments/475148937754312719/475727172213014539/IMG_20180805_103930-01.jpg	0	47
CotA	055	Control the Weak	C	Action	Dis		1			Play: Choose a house on your opponent's identity card. Your opponent must choose that house as their active house next turn.		Gong Studios	https://drive.google.com/file/d/1OX381Tz3CZbOF0VccVlC1JCWvF9ne8x2/view?usp=drivesdk	0	37
CotA	056	Creeping Oblivion	R	Action	Dis		1			Play: Purge up to 2 cards from a discard pile.	"As far as oblivions go, it's in my bottom three." -- Dr. Escotera.	Andrew Bosley	https://cdn.discordapp.com/attachments/475148937754312719/482500180675919872/39986160_10217012551775907_7565255751380238336_n.jpg	0	2
CotA	057	Dance of Doom	R	Action	Dis		0			Play: Choose a number.  Destroy each creature with power equal to that number.		Mihai Radu	https://www.facebook.com/photo.php?fbid=310151816224042&set=pcb.512241152570658&type=3&theater&ifg=1	0	10
CotA	058	Fear	C	Action	Dis		0			Play: Return an enemy creature to its owner's hand.		Nicholas Gregory	https://cdn.discordapp.com/attachments/475148937754312719/479410359153852426/20180815_145533.jpg	0	35
CotA	059	Gateway to Dis	C	Action	Dis		0			Play: Destroy each creature.  Gain 3 chains.		Brolkin	https://images-cdn.fantasyflightgames.com/filer_public/ef/68/ef68b13a-225c-48dc-94e6-2ec2c8396dd5/kf01_card_gateway-to-dis.png	0	36
CotA	060	Gongoozle	U	Action	Dis		1			Play: Deal 3[D] to a creature.  If it is not destroyed, its owner discards a random card from their hand.	"Just trying to understand these...'things' gives me a headache."	Bogdan Tauciuc	https://i.imgur.com/9xQIWYM.jpg	0	10
CotA	061	Guilty Hearts	R	Action	Dis		1			Play: Destroy each creature with any [Æ] on it.	C'mon, take it.  You know you want to.	Grigory Serov	https://i.imgur.com/NIFF1vC.jpg	0	2
CotA	062	Hand of Dis	C	Action	Dis		0			Play: Destroy a creature that is not on a flank.	"Let me give you a hand..."	Mariusz Gandzel	https://cdn.discordapp.com/attachments/475148937754312719/475155021034553354/image.jpg	0	29
CotA	063	Hectacomb	R	Action	Dis		1			Play: Destroy each Dis creature.  Each player gains 1[Æ] for each creature they controlled that was destroyed this way.		Mariusz Gandzel	https://cdn.discordapp.com/attachments/475148937754312719/479438589361651712/hectabomb.png	0	3
CotA	064	Tendrils of Pain	U	Action	Dis		1			Play:  Deal 1[D] to each creature.  Deal an additional 3[D] to each creature if your opponent forged a key on their previous turn.		Timur Shevtsov	https://cdn.discordapp.com/attachments/475148937754312719/478655509533163521/CameraZOOM-20180813160121825.jpg	0	12
CotA	065	Hysteria	U	Action	Dis		0			Play: Return each creature to its owner's hand.	"Help, I can't stop this feeling!"	Gong Studios	https://cdn.discordapp.com/attachments/475148937754312719/475727172213014539/IMG_20180805_103930-01.jpg	0	10
CotA	066	Key Hammer	U	Action	Dis		1			Play: If your opponent forged a key on their previous turn, unforge it. Your opponent gains 6[Æ].	What time is it?	Caravan Studio	https://cdn.discordapp.com/attachments/475148937754312719/476943073348288522/20180808_202031.jpg	0	21
CotA	067	Mind Barb	C	Action	Dis		1			Play: Your opponent discards a random card from their hand.		Grigory Serov	https://cdn.discordapp.com/attachments/475148937754312719/475155021034553354/image.jpg	0	30
CotA	068	Pandemonium	U	Action	Dis		1			Play: Each undamaged creature captures 1[Æ] from its opponent.		Caravan Studio	https://cdn.discordapp.com/attachments/475148937754312719/483059297157382144/IMG_20180825_163724598_HDR.jpg	0	12
CotA	069	Poltergeist	U	Action	Dis		1			Play: Use an artifact controlled by any player as if it were yours. Destroy that artifact.		Andrew Bosley	https://cdn.discordapp.com/attachments/475148937754312719/476943073348288522/20180808_202031.jpg	0	11
CotA	070	Red Hot Armor	R	Action	Dis		1			Play: Each enemy creature with armor loses all of its armor until the end of the turn and is dealt 1[D] for each point of armor lost this way.		Caravan Studio	https://cdn.discordapp.com/attachments/475148937754312719/480121341014704129/39403778_1866501063428904_4062952939331780608_n.jpg	0	5
CotA	071	Three Fates	U	Action	Dis		1			Play: Destroy the 3 most powerful creatures.	"Destitution, Dereliction, and Defenestration."	Andreas Zafiratos	https://drive.google.com/file/d/1OX381Tz3CZbOF0VccVlC1JCWvF9ne8x2/view?usp=drivesdk	0	13
CotA	072	Annihilation Ritual	R	Artifact	Dis	Power	1			When a creature would enter a discard pile from play, it is purged instead.		Andreas Zafiratos	https://i.imgur.com/R1qOKNt.jpg	0	3
CotA	073	Dominator Bubble	C	Artifact	Dis	Item	0			Action: Use a friendly creature.	"I know I shouldn't'a nicket it, but 'twere so ... shiny." -- Noddy the Thief	Caravan Studio	https://www.facebook.com/photo.php?fbid=1651253094985879&set=oa.505644606563646&type=3&theater	0	34
CotA	074	Key to Dis	R	Artifact	Dis	Item	0			Omni: Sacrifice Key to Dis. Destroy each creature.		Grigory Serov	https://cdn.discordapp.com/attachments/475148937754312719/475727172213014539/IMG_20180805_103930-01.jpg	0	6
CotA	075	Lash of Broken Dreams	C	Artifact	Dis	Weapon	0			Action: Keys cost +3[Æ] during your opponent's next turn.	"At first, I thought that nothing could harm an Archon." -- Captain Val Jericho	David Auden Nash	https://www.facebook.com/photo.php?fbid=1651253198319202&set=oa.505644606563646&type=3&theater	0	41
CotA	076	Library of the Damned	U	Artifact	Dis	Location	0			Action: Archive a card.	"This place takes the idea of losing yourself in a boot to a whole new level." -- Doc Bockton	Jacob Altemza	https://cdn.discordapp.com/attachments/475148937754312719/479438618566328325/librarydamned.png	0	8
CotA	077	Lifeward	U	Artifact	Dis	Power	1			Omni: Sacrifice Lifeward.  You opponent cannot play creatures on their next turn.		Caravan Studio	https://cdn.discordapp.com/attachments/475148937754312719/480493092223582208/lifeward.png	0	12
CotA	078	Sacrificial Altar	R	Artifact	Dis	Location	1			Action: Purge a friendly Human creature from play.  If you do, play a creature from your discard pile.		Gong Studios	https://cdn.discordapp.com/attachments/475148937754312719/479410288190291980/20180815_145600.jpg	0	4
CotA	079	Screaming Cave	R	Artifact	Dis	Location	0			Action: Shuffle your hand and discard pile into your deck.	"Was that you, or the cave?" -- Captain Val Jericho	Gong Studios	https://cdn.discordapp.com/attachments/475148937754312719/481886003725074442/39821870_10155811212236375_4107532092819111936_n.png	0	3
CotA	080	Soul Snatcher	R	Artifact	Dis	Vehicle	0			Each time a creature is destroyed, its owner gains 1[Æ].	No one goes in, no one comes out.  And yet the fires burn.	Mark Bulahao	https://cdn.discordapp.com/attachments/475148937754312719/481619039529992192/Soul_Snatcher.jpg	0	5
CotA	081	Charette	C	Creature	Dis	Demon	0	4	~	Play: Capture 3[Æ].	It doesn't like to share.	Josh Corpuz	https://cdn.discordapp.com/attachments/475148937754312719/480826770740871189/IMG_0346.JPG	0	33
CotA	082	Drumble	U	Creature	Dis	Imp	0	2	~	Elusive.  (The first time this creature is attacked each turn, no damage is dealt.) Play:  If your opponent has 7[Æ] or more, capture all of it.		Mariusz Gandzel	https://scontent-iad3-1.xx.fbcdn.net/v/t1.0-9/41436399_10212574017492519_7639025246367907840_n.jpg?_nc_cat=0&oh=de903fcd48c5c975e60da274ad4b9814&oe=5C376DBE	0	11
CotA	083	Dust Imp	C	Creature	Dis	Imp	0	2	~	Destroyed: Gain 2[Æ].	When the demon's away, the imps will play.	Grigory Serov	https://cdn.discordapp.com/attachments/475148937754312719/475155021034553354/image.jpg	0	35
CotA	084	Eater of the Dead	R	Creature	Dis	Demon	0	4	~	Fight/Reap: Purge a creature from a discard pile.  If you do, put a +1 power counter on Eater of the Dead.		Jacob Altemza	https://cdn.discordapp.com/attachments/475148937754312719/479410099505594399/20180815_145615.jpg	0	6
CotA	085	Ember Imp	C	Creature	Dis	Imp	0	2	~	Your opponent may not play more than 2 cards each turn		Gong Studios	https://drive.google.com/file/d/1OX381Tz3CZbOF0VccVlC1JCWvF9ne8x2/view?usp=drivesdk	0	33
CotA	086	Gabos Longarms	R	Creature	Dis	Demon	0	5	~	Before Fight: Choose a creature. Gabos Longarms deals damage to that creature rather than the one it is fighting.		Michele Giorgi	https://i.imgur.com/Z23piiW.jpg	0	5
CotA	087	Overlord Greking	R	Creature	Dis	Demon	0	7	~	After an enemy creature is destroyed fighting Overlord Greking, put that creature into play under your control.		Ilya Bondarenko	https://cdn.discordapp.com/attachments/475148937754312719/483670279554334720/FB_IMG_1535386364646.jpg	0	1
CotA	088	Guardian Demon	U	Creature	Dis	Demon	0	4	~	Play/Fight/Reap:  Heal up to 2 damage from a creature.  Deal that amount of damage to another creature.		Forrest Imel	https://i.imgur.com/S9s54C8.jpg	0	13
CotA	089	Master of 1	R	Creature	Dis	Demon	0	4	~	Reap: You may destroy a creature with 1 power.	The first sin is fear.	Mihai Radu	https://cdn.discordapp.com/attachments/475148937754312719/482571425291698176/40002095_10156275197226293_3964710312669609984_n.jpg	0	0
CotA	090	Master of 2	S	Creature	Dis	Demon	0	4	~	Reap: You may destroy a creature with 2 power.	The second sin is apathy.	Mihai Radu	https://cdn.discordapp.com/attachments/475148937754312719/482571425291698176/40002095_10156275197226293_3964710312669609984_n.jpg	0	1
CotA	091	Master of 3	S	Creature	Dis	Demon	0	4	~	Reap: You may destroy a creature with 3 power.	The third sin is greed.	Mihai Radu	https://cdn.discordapp.com/attachments/475148937754312719/477106817902706688/FB_IMG_1533821262101.jpg	0	2
CotA	092	Pit Demon	C	Creature	Dis	Demon	0	5	~	Action: Steal 1[Æ].	They come from another world, they are pure evil made flesh and steel, and the lurk in the darkest corners of the land.  Yes, I'm comfortable calling them 'demons'" -- Science Officer Wu	Nicola Saviori	https://drive.google.com/file/d/1OX381Tz3CZbOF0VccVlC1JCWvF9ne8x2/view?usp=drivesdk	0	30
CotA	093	Pitlord	R	Creature	Dis	Demon	2	9	~	Taunt (This creature's neighbors cannot be attacked unless they have taunt.) While Pitlord is in play, you must choose Dis as your active house.		Asep Ariyanto	https://drive.google.com/file/d/1eLDxk4bQn-wxNFLHh7jGl4LUmlzzG-Pl/view?usp=drivesdk	0	5
CotA	094	Restringuntus	R	Creature	Dis	Demon	0	1	~	Play:  Choose a house.  Your opponent cannot choose that house as their active house until Restringuntus leaves play.		Timur Shevtsov	https://cdn.discordapp.com/attachments/475148937754312719/476943073348288522/20180808_202031.jpg	0	3
CotA	095	Shaffles	U	Creature	Dis	Imp	0	2	~	At the end of your turn, your opponent loses 1[Æ].	"Do you want imps?  This is how you get imps."	Timur Shevtsov	https://i.imgur.com/9U0K4Rj.jpg	0	15
CotA	096	Shooler	C	Creature	Dis	Demon	0	5	~	Play: If your opponent has 4[Æ] or more, steal 1[Æ].	"Demons onle take, never give." -- The Sanctified Scroll	Grigory Serov	https://www.facebook.com/photo.php?fbid=10214925319739349&set=oa.505644606563646&type=3&theater	0	36
CotA	097	Snudge	U	Creature	Dis	Demon	0	4	~	Fight/Reap:  Return an artifact or flank creature to its owner's hand.	It's only sensible to fear the dark.	Eric Kenji Aoyagi	https://www.facebook.com/photo.php?fbid=310151819557375&set=pcb.512241152570658&type=3&theater&ifg=1	0	6
CotA	098	Stealer of Souls	U	Creature	Dis	Demon	0	6	~	After an enemy creature is destroyed fighting Stealer of Souls, purge that creature and gain 1[Æ]. (A purged creature is removed from the game.)		Jorge Ramos	https://www.facebook.com/photo.php?fbid=1651196818324840&set=oa.505644606563646&type=3&theater	0	19
CotA	099	Succubus	C	Creature	Dis	Demon	0	3	~	During the "draw cards" step, your opponent refils their hand to 1 less card.		Mariusz Gandzel	https://cdn.discordapp.com/attachments/475148937754312719/475727172213014539/IMG_20180805_103930-01.jpg	0	39
CotA	100	Tentacus	U	Creature	Dis	Demon	0	5	~	You opponent must pay you 1[Æ] in order to use an artifact.		Caio Monteiro	https://cdn.discordapp.com/attachments/475148937754312719/479410030878392347/20180815_145631.jpg	0	25
CotA	101	The Terror	C	Creature	Dis	Demon * Knight	0	5	~	Play: If your opponent has no [Æ], gain 2[Æ].	"I once thought that these creatures could be redeemed.  Now I know better." -- Champion Anaphiel	Matthew Mizak	https://www.facebook.com/photo.php?fbid=1651196608324861&set=oa.505644606563646&type=3&theater	0	36
CotA	102	Tocsin	C	Creature	Dis	Demon	0	3	~	Reap: Your opponent discards a random card from their hand.		Gabriel Rubio	https://cdn.discordapp.com/attachments/475148937754312719/475727172213014539/IMG_20180805_103930-01.jpg	0	32
CotA	103	Tolas	R	Creature	Dis	Imp	0	1	~	Elusive. (The first time this creature is attacked each turn, no damage is dealt.) Each time a creature is destroyed, its opponent gains 1[Æ].		Caravan Studio	https://cdn.discordapp.com/attachments/475148937754312719/479925169482366987/s-l1600.jpg	0	1
CotA	104	Truebaru	R	Creature	Dis	Demon	0	7	~	You must lose 3[Æ] in order to play Truebaru. Taunt. (This creature's neighbors cannot be attacked unless they have taunt.) Destroyed: Gain 5[Æ].		Nicholas Gregory	https://cdn.discordapp.com/attachments/476079071596642305/479428134631112724/core-104.png	0	5
CotA	105	Collar of Subordination	R	Upgrade	Dis		0			You control this creature.	"OBEY"	Bogdan Tauciuc	https://cdn.discordapp.com/attachments/475148937754312719/477738256411394048/unknown.png	0	3
CotA	106	Flame Wreathed	U	Upgrade	Dis		1			This creature gets +2 power and gains hazardous 2.  (Before this creature is attacked, deal 2[D] to the attacking enemy.)		Brolkin	https://cdn.discordapp.com/attachments/475148937754312719/475727172213014539/IMG_20180805_103930-01.jpg	0	12
CotA	107	Bouncing Deathquark	U	Action	Logos		0			Play: Destroy an enemy creature and a friendly creature. You may repeat this effect as many times as you like, as long as it is possible to repeat the entire effect.		Jason Juta	https://cdn.discordapp.com/attachments/475148937754312719/477165556407992320/image.jpg	0	9
